ID,Data,Typ,Kwota,Kategoria,Podkategoria,Osoba,Komentarz
t-027,2026-01-01,Wydatek,"31,28",Jedzenie,Zakupy domowe,Osoba2,
t-028,2026-01-01,Wydatek,"81,28",Dom,Chemia/środki czystości,Osoba2,
t-029,2026-01-01,Wydatek,200,Inne,Fryzjer/kosmetyki,Osoba2,
t-030,2026-01-01,Wydatek,"15,97",Jedzenie,Praca,Osoba2,
t-031,2026-01-01,Wydatek,"108,04",Jedzenie,Zakupy domowe,Osoba2,
t-032,2026-01-01,Wydatek,400,Rozrywka,Hobby,Osoba2,
4882cbf9-6932-4111-b5e5-557c754caa9b,2026-01-09,Przychód,"11000,00",Wynagrodzenie,Osoba1,Osoba1,
c44397da-3c2b-4def-8285-4749d6684dfa,2026-01-31,Wydatek,"379,99",Rozrywka,Subskrypcje,,
43e68dec-0d8c-4130-9078-6b06b1e1456f,2026-01-31,Wydatek,"230,23",Transport,Paliwo,,
3f9d83a0-33d4-4fba-8e32-e5aba28baa12,2026-01-29,Wydatek,70,Rozrywka,Wyjazdy/wakacje,,
94cb2c14-6e73-4fd2-9ce5-b0f5a736cf6a,2026-01-29,Wydatek,"42,48",Zdrowie,Leki,,
ae4e146d-98af-44e6-a8ce-de4b06e87133,2026-01-28,Wydatek,"94,8",Jedzenie,Restauracje/miasto,,
2329f243-2e86-40eb-87b4-44b3d57b2181,2026-01-27,Wydatek,"58,5",Jedzenie,Nieprzewidziane,,
7230fb80-eb40-4059-83c5-49421516ccdf,2026-01-26,Wydatek,"40,2",Rozrywka,Wyjazdy/wakacje,,
dab00041-7c5c-42d6-a7c6-dabccb34842d,2026-01-26,Wydatek,177,Rozrywka,Wyjazdy/wakacje,,
49890dd8-9b3c-4d11-9c8a-c14cbcf14db6,2026-01-26,Wydatek,61,Mieszkanie,Gaz,,
c0548b35-83d8-4710-bbe0-4df4a67105a1,2026-01-25,Wydatek,60,Inne,Prezenty,,
e095bc1f-b4d4-4a1f-850d-d1504ed2bb14,2026-01-25,Wydatek,"22,48",Transport,Paliwo,,
6ce1f441-b520-41ef-8753-c3f6d8fdf7b7,2026-01-25,Wydatek,"252,47",Rozrywka,Wyjazdy/wakacje,,
74472301-5170-4809-a792-ec1d22a41453,2026-01-24,Wydatek,20,Inne,Telefon,,
c5156f64-e052-4aea-843f-9aad338ca449,2026-01-23,Wydatek,"235,88",Transport,Paliwo,,
2f49b2d0-ae14-4ffc-b2c8-9328e78d118b,2026-01-22,Wydatek,"21,37",Jedzenie,Zakupy domowe,,
7db054df-d823-42e8-bf14-d64a4225a872,2026-01-22,Wydatek,"41,48",Dom,Chemia/środki czystości,,
aebaa5c0-fc54-4084-8f28-9c76add1d098,2026-01-20,Wydatek,"37,99",Rozrywka,Subskrypcje,,
46f1a612-5d14-4951-976c-698dc3a44e4b,2026-01-20,Wydatek,"509,13",Zdrowie,Leki,,
3aac5cf0-e13e-4488-a7ea-396ed8386185,2026-01-19,Wydatek,"178,51",Jedzenie,Zakupy domowe,,
99b25a49-c67b-4eb7-8d72-41f9678d3fc7,2026-01-19,Wydatek,"167,91",Jedzenie,Zakupy domowe,,
ed836850-6efc-4d1f-bce8-b693ecd4fbdf,2026-01-17,Wydatek,"120,17",Jedzenie,Zakupy domowe,,
e7b0a0d6-8962-492c-ad6d-8fff7532e9ec,2026-01-15,Wydatek,"32,99",Rozrywka,Subskrypcje,,
1f8d9548-6e21-4a97-9c14-b799334cf931,2026-01-14,Wydatek,39,Jedzenie,Nieprzewidziane,,
fbeb3cf3-b4a5-4a66-8c0a-6306568777e8,2026-01-14,Wydatek,"0,15",Mieszkanie,Prąd,,
e9d8a9a1-3065-4f81-b513-509967118fbe,2026-01-14,Wydatek,"48,62",Dom,Chemia/środki czystości,,
e3bea90b-310a-43c1-b73e-046ab683f155,2026-01-13,Wydatek,190,Zdrowie,Telefon,,
3a86288a-64f1-4e6f-9e6b-e647c5ffc162,2026-01-13,Wydatek,"32,97",Jedzenie,Nieprzewidziane,,
75097f04-59a9-42bd-b86e-3008b929f5a5,2026-01-13,Wydatek,"231,3",Transport,Paliwo,,
51d1f102-2934-4969-a1c7-89f86b53683b,2026-01-13,Wydatek,"65,2",Jedzenie,Restauracje/miasto,,
dd8e2d85-879c-4b15-8e36-ee01333eeea8,2026-01-13,Wydatek,"23,99",Jedzenie,Restauracje/miasto,,
bc4f5586-3af0-488c-afc3-6b78cf7dd74a,2026-01-13,Wydatek,"99,99",Rozrywka,Subskrypcje,,
00f0bfaa-8298-447b-8355-db1bd26b3b18,2026-01-12,Wydatek,66,Jedzenie,Restauracje/miasto,,
b7357515-c3fc-4580-bcc4-4c2b5a245ba0,2026-01-12,Wydatek,"167,23",Jedzenie,Zakupy domowe,,
c9e6e97b-274c-46c6-af05-bef8f73ff799,2026-01-12,Wydatek,"274,7",Jedzenie,Zakupy domowe,,
567ad5b0-aa8b-44b3-b4ee-d11d852366db,2026-01-12,Wydatek,10,Jedzenie,Nieprzewidziane,,
a273a284-31dc-4b89-8b61-22facd878464,2026-01-12,Wydatek,"81,89",Dom,Nieprzewidziane,,
d6265702-ce11-4d5c-b4ba-4585e746adc5,2026-01-12,Wydatek,"34,99",Rozrywka,Subskrypcje,,
2e7db2dc-4fe4-4207-ab55-9b99710367e1,2026-01-12,Wydatek,"93,35",Jedzenie,Nieprzewidziane,,
7782d79a-81ca-43b5-be79-4788b51f7a7c,2026-01-12,Wydatek,983,Dzieci,Ubrania dzieci,,
61b86748-1550-4c0f-acfa-aaa307a8183d,2026-01-11,Wydatek,631,Dzieci,Przedszkole/Szkoła,,
e1c307e8-3943-4fd4-b86b-835fefc14880,2026-01-09,Wydatek,50,Inne,Prezenty,,
f89d1d65-70da-4e38-ab82-42826c1af880,2026-01-09,Wydatek,520,Dzieci,Przedszkole/Szkoła,,
d3278f28-ad92-4213-a05a-0f9a504dbba2,2026-01-09,Wydatek,90,Mieszkanie,Telefon,,
33323f88-2273-4e4e-865d-cca2ab7adec8,2026-01-07,Wydatek,"112,28",Jedzenie,Zakupy domowe,,
115942fa-0a14-4bbb-ab32-5e97b2acc35d,2026-01-07,Wydatek,"34,99",Jedzenie,Zakupy domowe,,
2a99f051-3943-4600-a753-494e3f4a42f9,2026-01-07,Wydatek,"56,49",Rozrywka,Kino/koncerty,,
a1cc0948-f390-4f97-88ff-2bcca9895ba2,2026-01-06,Wydatek,173,Jedzenie,Restauracje/miasto,,
8b0e2c10-77bf-40de-ad07-7c3371fb7f3a,2026-01-06,Wydatek,"109,23",Transport,Serwis/naprawy,,
16127ce3-d460-41c3-a9d2-437665062423,2026-01-06,Wydatek,168,Jedzenie,Restauracje/miasto,,
51374631-084d-49fa-a5a3-6b88ecc02573,2026-01-06,Wydatek,"61,6",Rozrywka,Kino/koncerty,,
3994c0dd-9f42-44d2-91c5-904b5d931029,2026-01-05,Wydatek,"141,37",Dom,Nieprzewidziane,,
0ce36c62-ff91-4674-8744-017483d2ed4b,2026-01-05,Wydatek,"17,48",Jedzenie,Nieprzewidziane,,
621bd4d3-20e5-42c3-a92f-e5922fbbffc6,2026-01-05,Wydatek,32,Zdrowie,Leki,,
410a5c9f-f99e-4a28-8541-f023b4e7bf26,2026-01-04,Wydatek,148,Rozrywka,Hobby,,
1d085774-0548-4213-b60f-631b8c743bf7,2026-01-04,Wydatek,"50,56",Jedzenie,Zakupy domowe,,
5ce13286-5e73-4140-b9d1-e2ed2a25afb3,2026-01-04,Wydatek,50,Inne,Fryzjer/kosmetyki,,
7acfe5dc-6dfa-4065-91f0-14a49d62677a,2026-01-03,Wydatek,75,Inne,Fryzjer/kosmetyki,,
2699a0da-e964-42e9-a400-710c62034986,2026-01-02,Wydatek,"233,87",Transport,Paliwo,,
8003e0f8-459c-4536-be7a-d1c1a0a73220,2026-01-02,Wydatek,"269,76",Jedzenie,Zakupy domowe,,
a3907e63-8466-45bf-8508-59f5e9320acc,2026-01-02,Wydatek,"23,7",Jedzenie,Zakupy domowe,,
588759ff-2ded-41e3-bb6c-afafa390d757,2026-01-02,Wydatek,"14,72",Jedzenie,Zakupy domowe,,
4fb0efe0-3fff-4781-ab69-dd3d534c5011,2026-01-02,Wydatek,"52,71",Jedzenie,Nieprzewidziane,,
2513a2ff-8481-43f1-879e-c35d17408cd2,2026-01-02,Wydatek,"13,49",Jedzenie,Nieprzewidziane,,
b9e8f940-4d8b-45bb-aa08-43385d0b274c,2026-01-02,Wydatek,"10,37",Dom,Nieprzewidziane,,
aab07619-34eb-41c3-9199-df3c92bba721,2026-01-02,Wydatek,"367,97",Mieszkanie,Ubezpieczenie mieszkania,,
7fedae40-d9fc-4ae2-a431-dfac19824e10,2026-01-29,Wydatek,150,Rozrywka,Hobby,Osoba1,
4c4e331f-66af-4bdd-a2fe-c5900bb48121,2026-01-29,Wydatek,100,Dzieci,Zajęcia dodatkowe,Osoba1,
a0d89065-8c21-4d2d-b46a-e1903b8caa05,2026-02-09,Przychód,"11000,00",Wynagrodzenie,Osoba1,Osoba1,
acb36bb9-b233-4fbd-b9dc-5b9cad8a8cc5,2026-01-05,Wydatek,100,Dzieci,Zajęcia dodatkowe,Osoba1,
